-aik,dollar
nuji-kelutmalsewisk,lawyer
nuji'kiket,carpenter
nuji-kina'muet,educator
nuji-kina'mueto'kuo'm,school
nuji-kina'muey,tutor
nuji-kina'muo'kuom,school
nuji-koqwa'luet,wrestler
nuji-ktanteket,hunter
nuji-ktantekewinu,hunter
nujiktu'muet,musicial_entertainer
nuji-kwesiket,fortune teller
nuji-kwesikey,fortune teller
nuji-kwitamewinu'k,fishermen
nujikwtapet,diver
nujikwtapet,diver
nujilsuteket,judge
nujimatl,counsel
nuji-milamukwa'teket,magician
nujimilaplkikwa'teket,illusionist
nujimila'teket,joker
nuji-msnawet,catcher
nujinapui'kiket,photographer
nujine'patat,slaughterer
nujine'pateket,executioner
nuji-nikan-awti'key,guide
nujin'ket,scaler_(in_lumbering)
nujinpisuniket,charmer
nujinpiteket,healer
nujinqasui'ket,firefighter
nujinsɨpit,baby_sitter
nuji-nsɨtuapukuet,preacher
nujintoq,singer
nujintuisket,peddler
nuji-n'tus,barren
nuji-pe'kaknutm,commentator
nuji-pipanuijkey,scrutineer
nujipipnet,baker
nujipipukwet,musician
nuji'pit,runner_(professional)
nujipi'tɨpet,bartender
nuji-pi'tɨpet,bartender
nujipkwateliket,buyer_or_purchaser
nuji-poqtlukwey,beginner
nujipostewit,marriage_(or_divorce)_broker
nujipostewit,marriage_(or_divorce)_broker
nuji-po'ti,pouch
nuji-pui'ke'ji'ji,chimneysweep
nujiputaqiket,butcher
nuji-sa'se'wamukwa'teket,magician
nuji-sewiski-wi'kikete'w,scribbler
nuji-sinklewte'muet,barber
nuji-ska'qney,door keeper
nuji-temasqite'muet,barber
nujitoq,make_professionally
nujitoqtet,baker_(professional)
nuji-wi'kiket,secretary
nuji-win-aknutmakwet,tattletale
nuji·petayjo'lajik,chauffeur
nujji-koqwa'tekey,sheriff
nujkima'q,melt
nujkima'tu,thaw
nujkima'tu,snow
nujkimesm,melt
nujkma't,melt
nujkmoqsatl,soften_by_using_heat
nujkmoqsɨk,soften_by_using_heat
nujkmoqsit,melt_(through_heating)
nujkmoqtek,melt_(through_heating)
nujknetm,gnaw
nujo'teket,witness
nujo'tk,in_charge_of
nujumu,with_gastric_tuberculosis
nujumuit,have_gastric_tuberculosis
nuj·ne'pateket,executioner
nukjaqala'tl,squash
nukjaqa'toq,squash
nukjaqta'sijik,mashed
nukjaqta'sikewei,mashed potatoes and  turnip
nukjaqteskɨk,crush_by_stomping
nukjaqteskuatl,crush_by_stomping
nukmi',grandma
nukmikek,cultivated land
nuksaqatew,charcoal
nuksatl,mince
nukse'maqn,kindling
nuksɨk,shred
nukta'tl,smash_to_bits
nukte'k,smash_to_bits_(by_hand)
nukteskɨk,crush_or_soften_(with_feet)
nukteskuatl,crush
nuktoqte'jkwej,maid
nuku',now
nukumi,granny!
nukumkena'q,sugar
nukwa'kipulatl,grind
nukwa'kittoq,grind
nukwa'latl,soften
nu'kwa'latl,set_on_fire
nukwaltuko'n,
nukwaltuko'n,comb
nukwaltuko'sit,comb_hair
nu'kwa'luejkewei,cattail
nukwamke'k,flabby
nukwamkiaq,brown sugar
nu'kwa'q,burn
nu'kwa'qewei,inflammable_substance
nu'kwa't,ablaze
nukwa'toq,soften
nu'kwa'toq,set_ablaze
nukwe'k,soft
nulapskite'kik,dice
nulmikɨma'tasik,boil
nulmikma'tu'n,simmering
nulmikwekewei,annual
nulmintoq,hum
nu'naqno'q,bottle
nunat,suck
nunatk,suck
nunes,freak
nunet,breast-feed
nunmaqek,incline
nunmaqet,incline
nunmipɨsit,moderately_warm
nunmipɨtek,moderately_warm
nunpim,water
nu'nu,bottle baby talk
nusalatl,suckle_(infant)
nu'saqatp,skull
nu'se'knikn,poker
nuseskwet,breastfeed
nuseskwet,nurser
nuskalu'ke'l,forward
nussaqiket,clerk
nussaqiket,clerk
nutajite'lsit,humble
nut-aknutmewinu,spokesperson
nutanteket,hunter
nutanteket,hunter
nutapilasi,waiter
nutapit,scout_(around)
nutapteket,coroner
nutapteket,coroner
nuta'q,missing
nuta't,missing
nutateji'pulatl,deliver
nutateji'putasit,delivery_person
nutateji'putasit,deliveryman
nutateji'puteket,delivery_man
nutateji'putoq,deliver
nutawaqtmat,begger
nutawletasɨk,backpack
nutayjo'tasit,twitcher
nutek,behind
nu'te'nmaqn,kitchen
nu'te'nmaqn,fire
nutewistoq,lawyer
nutk,hear
nutkɨk,become_too_large_to_fit_anymore
nutki'kn,knee cap
nutkoqtek,not fully cook
nutleket,pitcher
nutmat,hear_about
nutmo'taqn,trade
nutnawet,assist_at_mass
nutnawet,assist_at_mass
nutpet,tend_bar
nutpipnet,baker
nutpipnet,baker
nutputi,chair
nutqwa'latl,put_insufficient_amount
nutqwa'toq,put_insufficient_amount
nutqwe'k,immature
nutqwelk,inadequate
nutqwelk,inadequate
nutqwijijikwe'jit,insufficiently_narrow
nutqwijijikwe'jk,insufficiently_narrow
nutsaqaniket,who_discharges_or_fires
nuttoqte'skw,cook
nuttoqto'kwo'm,kitchen
nutuatl,hear
o'jikate'j,jack frost
Okomkikewk,"Liverpool, N.S."
o'pi'j,sleet
o'pi'ju'niaq,sleet falls
o'plaknutmajik,have_disagreement
o'pla'latl,do_wrong
o'plapukuet,say_the_wrong_thing
opla'sɨk,go_wrong
opla'sit,go_wrong
o'platalk,eat_improperly
o'pla'teket,do_wrong
o'pla'toq,do_wrong
o'plisqatesink,sprain
o'plisqatesk,sprain
o'plisqatesmatl,sprain
o'plisqatestoq,sprain
o'pli-wenaqto'sit,skip_wrong
o'pl-taqne'wasik,wired wrong
o'pl'ta'tl,hit_wrongly
o'pl'te'k,hit_wrongly
o'plwi'tatl,name_or_call_wrongly
o'plwi'tɨk,name_or_call_wrongly
oqatk,wind_blows_from_the_north
oqituek,sticky
oqlolomkwa'si,bow
oqnaltukwa't,hair is overgrown my eyes
oqnipkwa'tu,bury
oqnpa'q,flood
oqo,thus
oqoj,almost
oqolumkwa'sit,bow_head (mmo)
oqomatl,take_leave_of
oqon,fagot
oqonaliaq,"covered_with_snow,_soil,_etc."
oqonaliet,"covered_with_snow,_etc."
oqoniskwa'toq,cover
oqoniskwekwa'latl,cover
oqonisqopilatl,wrap
oqonisqopilk,wrap
oqonitpaqamukwiaq,getting_dark
oqonoqopisaqan,wrapper
oqonoqopiso'tlatl,place_hood_on
oqopan,tide
oqopisit,wrapped_up
oqoqiaq,mold
oqoqwi'sit,burn it dry
oqote'tut,friends!
oqoti,dear
oqotqomatl,tease_(about_member_of_opposite_sex)
oqotua'si,hang on to something
oqpilk,swaddle
oqskijikwek,sticky
oqtatqa'toq,put_into_drydock
oqua !,wow
oquey,hangs clothes on a line.
oqunik,thigh
oqunoqupilaq,blindfold
oqwa'jikn,gunwhale
oqwa'q,arrive
-oqwasa'toq,pull_up_on_the_shore
oqwask,ice jam
oqwa't,arrive
oqwatnuk,north
oqwatqikan,lean·to
oti,friend
Owkoqike'jk,Blomidon
pa'itepeka'sit,overflow
pa'itɨpeka'sɨk,overflow
pajijiksma'latl,push_too_hard
pajijiksma'toq,push_too_hard
pajijipilei,newest
pajiji·klulk,extremely_good_or_nice
pajiji·klu'sit,extremely_good_or_nice
pajiji·winjik,extremely_bad
pajiji·winjit,extremely_bad
paji'taqaneta'tl,slap_on_neck
pajjaqamat,spread-on_thickly
pajjoq,quilt
pa'ke'k,sober
Pa'ke'wumk,Easter
pa'kitnet,have_nose_bleed
pa'kitnet,bleed_from_nostril
pako'si,cow lily
paktape'k,bay
pakwe'jk,shallow_water
pakwek,shallow water
pala'jwei,carpet or rug
palapi'n,kerosene
pa'li'we'l,barley
paloqomoqi'kan,wigwam
pal'taqan,gunwale_(of_boat)
pa'mikli,kind_of_tree_(related_to_ash
pan,
pana,same_as
pan-aknutk,discloses
pana'latl,open
pana'qapit,unzipped
pana'sik,open
pana'sit,open
pana'toq,open
panawijqanawet,thoroughly_search
paneka'lik,disclose
paneka'tu,discloses
paneta'q,open_or_clear_up_(of_sky)
panianuk,end_of_snow_period
paniaq,end_of_snow_period
panikiskiaq,clear_up_(of_clouds_or_fog)
pani'sik,snow is blowing
panɨtqa'sit,come_running_out_of_the_woods
panji'skepit,spread-eagled
panji'skepit,legs_outspread_while_lying_position
pankeji'j,sleigh drawn by horses
pankwenatl,groom
pankwenawet,delouse
pankwenut,lice hunting
panmi'jkatasikl,revealed
panoqipskunaw,eel
panoqumeka'luk,unwrap him
Panqumeka'luk,uncover
pansaqatl,unlock
pansaqq,unlock
pansatl,cut_open
pansɨk,cut_open
panta'latl,open_up
panta'toq,open
pantepit,open
pantetek,open
pantuna'sit,open_mouth
pantunepit,sits_with_mouth_open
pantuno'jink,have_mouth_open
panuapskek,Peneobscot
panuatqiey,come out of the woods
panuske'k,marsh
panu'skek,bog
pape'wei,bean
papimk,sport
papit,amuse_self
papitaqan,toy
papituo'qnei-puktew,bonfire
papka'latl,take_down_the_coast
papka'lukwet,go_down_the_coast_by_water
papka'sit,go_down_the_coast
papka'toq,take_down_the_coast
papke'k,down_the_coast
papke'k,downstream
papke'kewa'j,males_from_down_the_coast
papke'kewi'skw,female_from_down_the_coast
papkesestaqn,kindling
papkesetmat,light_up
papkɨsetmat,light_up_(pipe)
papkuk,bark
papkukita'ql,peel bark
papkwa'toq,peel bark
papkwa'tu,
papkwesetmui,light up
papn'ji'j,spool
papqwa'toq,strip_off_birchbark
papuaqan,amusement
pa'qala'imk,amazement
paqala'iwaqan,surprise
paqa'latl,bite
pa'qalayaq,shock
pa'qalayik,surprised
pa'qalaywik,awesome
paqa'luet,bites
pa'qamajeiwatl,snooping
pa'qamajo'tk,snooping
pa'qapukua'latl,hear_confession
pa'qapukuatk,confess
pa'qapukuet,confess
pa'qapukuo'ti,confession
paqaqamk,behind
paqasa'latl,place_in_the_water_(river)
paqasaqalatl,throw_in_water
paqasaqtoq,throw_in_the_water
paqasa'sit,goes_in_the_water
paqasa'toq,put_in_the_water_(river)
paqasiet,drown
paqaste'k,launch
pa'qastmat,easily_pick_up_news_and_gossip
paqa'toq,bite
paqawipk,calm
paqiatkwe'itesink,
paqiatkwe'itesmatl,body_slam
paqiatkwe'itestoq,slam
paqjui'squnay,nose is crooked
paqjuo'qni-katat,knock kneed
paqmiptin,back of your hand
paqsawey,splitting
paqsik,split
paqsik,eel filleted
paqsipke'itelua'tl,shoot_kill_instantly_(with_gun_or_bow_and_arrow)
paqsipkelmit,burst_out_laughing
paqsipketemit,burst_out_crying
paqsipki,overly
paqtaqamiktuk,deserted_area
paqtaqawa'q,echoey
paqtasit,shining_bright
paqtata'sik,brilliant sunshine
paqtatek,shining_bright
paqte'may,tattooed
paqtesk,flaw
paqtik,browse
paqti'kn,Browsing
paqtisi,choke on cigarette smoke
paqtism,wolf
paqtɨsm,wolf
paqtluskɨtek,tide is very low
Paqtnkek,Afton
paqtukowa'q,echos
paqtulaq,leaks
paqtune'itesink,fall_flat_on_the_face
paqunikn,pelvis
pas-,thick
pasali'kiaq,snow is deep
pasalitek,deep snow
pasaltukwai,thick hair
pasaltukwat,thick_hair
pas-alukiaq,cloud
pasanqiaq,thick
pasastu'ktek,thick
pasatpat,thick·headed
pase'k,thick
pasiay,thick lips
pasɨk,only
pasikpaji'ji'jit,pine
pasilnua'i,thick tongue
pasipskuney,thick breast
pasi'tuat,thick bearded
pasjoq,quilt
paskasua'q,blossoms
paskawo'tm,dry
paske'k,busted
paskesa'latl,light_up
paskesa'toq,light_up
paskesematl,light_(pipe)
pasketɨk,pop_(as_log_on_fire_or_as_corn)
paskija'latl,run_over
paskija'toq,run_over
paskɨk,sit_or_lie_on
paskikunoqtek,crackles
paskina'latl,tear_or_rip
paskina'toq,tear_or_rip
paskine'k,ripped_or_torn
paskinoqsit,cracked_(from_excessive_heat)
paskinoqtek,cracked_(from_excessive_heat)
paskipiasit,split_or_cracked_(from_dryness)
paskipiatek,split_or_cracked_(from_dryness)
paskɨsetmat,light_up_(to_smoke)
paskɨsetmuatl,light_up_for
pa'skɨtek,explode_(dry_log_on_fire)
paskoqjink,cracked_or_split_(from_excessive_cold)
paskoqsijik,burst open
paskoqsikn,jam
paskoqsit,pierced_(from_heat)
paskoqtek,burst_(from_excessive_heat)
paskoqte'kewei,crack
paskoqte'kn,path
paskoqtɨk,cracked_or_split_(from_excessive_cold)
paskuatl,have_one's_weight_on
paskukjat,cranky
paspa'q,thick ice
passoqsatl,make_into_jam
passoqsawet,make_jam
passoqsɨk,make_into_jam
passoqsikn,jam
pastek,thick
pastek,thick
pastesink,burst
pastesk,burst
pastɨk,thick ice
pastu'kopajit,walrus
pastu'ko'pajit,sea cow
pastukopa'sik,swell up
pastunk,"U.S.A._(""Boston"")"
pastunkewa'j,American_male
pastunkewa'ki,U.S.A.
pastunkowi'skw,American_female
pa'ta'l,bastard
patalapit,cross eyed
pataluti-awekn,table cloth
patanapjit,hold_with_left_hand
patanjuei,item_used_for_left_hand
patank,left·handed
patanmit,left·handed
pata'taqan,sin
pata'teket,sin
pata'teket,guilty
pata'tekewinu,sinner
patatuj,left_side
patatuj,southpaw
patatujke'k,leftward
pata'uti,table
patkwialasutmaqan,altar
patlapi,cross eyed
patlia's,
pa'tlia's,priest
pa'tlia'si'skw,nun
pa'tlia'sji'j,brother_(religious)
patliksɨte'wimk,Saint_Patrick's_Day
pa'toq,delirious
pa'tukwet,delirious
pawa'sɨk,move_slowly
pawa'sit,move_slowly
pawi-ta'sit,thinks slowly
paw-nataqama'sit,get_out_of_water_slowly
paw-natqa'sit,gets out slowly
pe',hold_on!_(interjection)
pe'ikwapit,see_all_around
pe'ikwaqatk,stay_here_and_there
pe'ikwatek,surrounding
pejijinkɨja'latl,squeeze_unintentionally
pejijinkɨja'toq,squeeze_unintentionally
pejikluluet,comes_to_ask_permission_from_parents_to_marry_their_daughter
pejiku'ta'tl,knock_down_unintentionally
pejiku'te'k,knock_it_down_unintentionally
pejila'sit,arrive_unannounced_or_unexpectedly_or_by_surprise
pejili-pukua'si,step forward
pejimatl,accidently insult someone
peji'pit,come_on_the_run
pejipuk,winter_arrives
pejipunmit,experience_winter
peji-punsit,comes_to_spend_winter
pejita'lijik,mentsal illness
peji'taqamat,trip_(over)
peji'taqmay,trip
pejitmsatl,cut_accidentally
pejitmsɨk,cuts_accidentally
pejiwsit,move_here_to_settle_down
pejo'laji,bring_them
pejoqsatl,cooks_unintentionally
pejoqsɨk,cook_unintentionally
pejo'toql,brings_them
peju,cod
pejuei,codfish_meat
pejue'ket,fish_for_cod
pejutman,karma
pekaja'latl,do_neatly
pekaja'toq,do_neatly
pekajeiwatl,keep_in_good_shape_or_condition
pekaje'k,clean
pekajo'tk,keep_in_good_shape_or_condition
pekalqutna'sit,purse your lips
pe'kapunekek,margin
peka'q,straight
pekaqanqayaq,grimy
pekaqanqayet,grimy
pekatnmat,clean and tidy
pekattek,neat
pekeja'teket,neaten
pekekumaq,hit him with a pole
pekele'w,bowl
pekije'k,long_time
pekijieskmatk,wait_long_time_for
pekijipnet,suffers_from_long_term_illness
pekiji·eskmalatl,wait_long_time_for
pekisink,arrive
pekisitoq,bring_or_arrive_with
pekisk,arrive
pekisulatl,bring_or_arrive_with
pekitapeksik,long_lasting
pekitapematl,useful_for_a_long_time
pekitapetk,useful_for_long_time
pekitawsit,live_long_life
pekitewo'kwet,talk_long_time
peki'tɨpet,tend_bar
pekitnmatimkewei,sacrifice
pekitnmatimkewe'l,offering
pekitqatk,stay_long_time
pekittemit,cry_long_while
pekittoq,is_taking_a_long_time
pe'ki-tutm,seious
peknɨk,dark night
pe'ko'mkik,straight
pekoqomik waqntew,collar bone
pekoqsit,straight
pekte'sɨk,southwind
pekte'w,glass
pektewik,hazy
pekuiksi,snow blind
pekuiptina't,sticky·fingered
peku'laks,day_before_yesterday
pe'kustmay,hear from
pe'kuta'ql,sounds familiar
pekwaja'latl,"clean_dress_or_gut_(as_fish,_chicken)"
pe'kwamatl,pleased_to_see_again_after_a_long_time
pe'kwamu'k,it_is_nice_to_see_again_after_a_long_time
pe'kwamuksin,familiar
pe'kwamuksit,it_is_nice_to_see_again_after_a long_time
pekwanusa'q,Circumcise
pe'kwaptɨk,is_pleased_to_see_again_after_long_time
pekwatelasik,commercial
pekwateliket,purchase
pekwatelk,buy
pekwateluatl,buy
pekwatoq,at_fault
pe'kwi,all over
pekwija'lik,eviscerate
pekwikwalatl,able_to_budge
pekwikwatk,able_to_budge
pekwi'satl,patch
pekwi'sɨk,patch
pe'kwite'tm,remember it fondly
pe'l,for_now
pelakwet,parrot
pela'latl,excluded
pelamu,salmon
pelaptmnen,overlook
pela'toq,omit
pela'tu,fail
pelkoqa'latl,peel_by_hand
pelkoqa'toq,peel_by_hand
pelko'qiket,debark
pelkoqsatl,peel_with_knife
pelkoqsawet,peel
pelkoqsɨk,peel_with_knife
pelkoqta'tl,strip_off_with_sharp_tool
pelkoqte'k,strip_off_with_sharp_tool
pelkuskute'key,mortar
pe'lm,ditch
pelqoqa'toq,peel
pelqoqa'tu'n,peel
pelqoqte'kniket,scrape_ground
pelsit,thick
peltek,"thick liquid, porridge"
peltek,thick
peltekewei,porridge
pe'l_ap_ta'n_tujiu,wait_until_some_other_time
pe'l_tmk,first_of_all
pemajtay,bear children
pema'kwi'teket,
pema'latl,carry
pemali'kiey,wade through the snow
pemamkiaq,sandbar
pemamkwe'ket,pole_along
pemanatl,process_of_doing_away_with
pemank,process_of_doing_away_with
pemankuat,peddle
pemapaqtesink,streaked
pemapaqtesk,streak
pemapeki,crawl
pemapekit,crawl_along
pemapilaqnei,wheel barrow
pemapilatl,"carry_along_in_hand_(by_of_rope,_handle,_etc.)"
pemapilawet,carry_by_rope_or_handle
pemapilk,"carry_along_in_hand_(by_rope,_handle,_etc.)"
pemaptoq,tracks
pema'q,swim_along
pemaqsɨk,fly_by
pemaqte'ket,sail_along
pematalk,eat_on_the_go
pemateja'si,fly by
pematejimatl,drag_along
pematejitoq,drag_along
pema'teket,pallbearer
pematkwetesink,move_along_while_nodding_head
pema'toq,carry
pematpe'pit,run_along_with_head_abobbing
pematqayet,go_through_thicket
pemawlatk,carry_along_on_back
pemawlatl,carry_along_on_back
pemeiwatl,operating
pemelmit,pass_by_laughing
pemiaq,move_along
pemiet,go_by
pemijajika'sit,move_along_the_shore
pemijajikisukwit,paddle_along_the_shore
pemiji'met,paddle_along
pemijuik,flows along
pemikate'pit,trot_along
pemikekwi'pit,run_along_slowly
pemiki,grow
pemi-ktiteskɨk,kick_along
pemi-ktiteskuatl,kick_along
pemi'kwe'k,swim_along
pemikwey,growing up
pemimkwik,swell
pemimqapskek,become_large_and_round
pemimqapskɨsit,become_large_and_round
pemimsɨki'ka'sɨk,get_bigger
pemimsɨki'ka'sit,get_bigger
pemimtma'mk,path
pemimuli,carry on chest
pemintoq,sing_along
pemi'pit,run_along
pemipkɨta'q,puff_along
pemi-pkuta't,smoke_along
pemipqomik,slide
pemi-pqumit,slide
pemi'pukwet,stagger_along
pemi'puluet,horse ride
pemiqama'sit,standing_up
pemisiawaqteket,sail_along_by
pemisiawa'sit,pass_by
pemisiawi'pukwet,stagger_along_by
pemisiawtemit,pass_by_and_crying
pemisqoqitukwi'k,run_up_the_hill
pemisukwit,paddle_along
pemitk,flow_along
pemitke'k,get_cold_(of_weather)
pemitkiaq,get_chilly
pemitkiet,getting_cold
pemitma'sik,start_to_break
pemitma'sit,start_to_break
pemitqoju'tukwi'k,run_upstairs
pemiwikwa'smukwet,whistle_along
pemiwisqi'pit,sprint_along
pemja't,leap_along
pem'ji'malatl,paddle_along
pem'ji'matk,paddle_along
pem'ji'met,paddle_along
pe'm'k,glide_along_in_water
pem-ketnm,carry in hand
pemkɨk,go_past
pemkuatl,go_past
pemkwi'tɨk,steer_along
pemlamteskey,breath is frozen
pemlɨka't,walk_along
pemnɨkalatl,carry_on_shoulder
pemnikatikey,shoulder
pemnɨkatk,carry_on_shoulder
pem-niket,carrying along
pemnɨket,shoulder_pack
pemo'tk,operate
pempa'q,rise_(of_tide)
pempaqto'sit,splash_along
pempa'sit,start_to_sit_down
pempeka'sɨk,start_to_rise_(of_tide)
pempekitk,flow_along
pempenikek,cliff
pempilatl,tow_along
pempilk,tow_along
pem'piskiaq,become_twilight
pem'pukua'sit,start_to_get_on_feet
pemqo'kwet,float_along
pemqo'qwek,float _along
pemsaqasɨk,wall
pem'siawqo'qwek,float_by
pemsɨk,pass_by_(in_air)
pemsink,pass_by_(in_the_air)
pemsulatl,
pemsutoq,
pemta'q,go_by_making_noise
pemtaqayet,slither_along
pemtemit,going_by_and_crying
pemto'kwet,drift_along
pemtoqsit,prattle_along
pem'tukwi'k,run_along
pem'tulkomit,going_with_something_concealed_under_the_arm
penatk,lay_(eggs)
penatmuiku's,April
pene'sukwa't,drool
pene'sukwati,drool
penetkwit,calve
penji'k,track an animal
penoqe'k,humble
penoqwe'k,act_disgracefully
penoqwite'lmatl,snobbed
pe'nta'latl,paint
pe'nta'tekewatlv,paint_for
pe'nta'toq,paint
pentoqsit,make_sounds
pepanimtimkewei,question
pepelo'qwe'k,peninsula
pepimkewei,alum
pepka'kipulatl,grind_down
pepka'kittoq,make_thin_by_grinding_down
pepka'latl,thin_out_(liquid)
pepkaltukwai,hair is thin
pepkalukiaq,cloud
pepkapske'k,stone is thin
pepka'toq,thin_out
pepkatpay,thin head
pepkatukwat,have_thin_hair
pepke'jit,thin
pepke'jk,thin
pepkekutm,shave it flat
pepkijatpat,flat·headed
pepkija'tu,flatten
pepkijekk,basket
pepkɨte'muatl,thin_out_(head_hair)_by_cutting
pepklaskitiat,
pepkloqsasijik,sliced thinly
pepkujete'm,flatten it
pepkute'may,hair is cut thin
pepkwejete'maqn,drum
pepkwet,drum
pepkwijete'taqnatkw,drumstick
pepse'imk,tame
pepsite'lmatl,disrespect
pepsite'teket,rude
pepskusa'q,stone is thin
pepskutek,gound is thin
pepskwamkek,ground is thin
peptɨskna'sit,put_on_shoes_and_socks
pepueket,shake
pepueketl,shake
pepuetesink,shake
pepuetesk,shake
peqanqasita'teket,feet
pesa'jijk,lightly_snowing
pesa'latl,skin_
pesanakik,snow
pesaq,snow
pesa'tekey,skin
pesa'tl,smell
pesa'tu,gall
pesaw,sponge
pesekawek,contagious
pesekuatl,infect someone
pesetamin,smell
pesetoq,smell
pesetu,smell
pe'si,eye has something in it
pesikalqutnamk,cleft mouth
pesiki'staqnei,split ear
pesikitnei,split nose
pesikpukiaq,cleft
pesiksekiaq,cleft
pesik-siai,split  lip
pesikte'ket,split_wood
pesik-tunai,split lip
pesi'kukwet,river_drive
pesikwe'ita'tl,slap_face
pesikwet,eyes are closed
pesikwetesin,blink
pesipka'latl,
pesipka'toq,
pesipkeket,"break_(rope,_string_or_chain)_in_two"
pesipkeketl,
pe'sɨsit,burst_into_flame
pe'sit,have_something_in_eye
pe'sɨtek,burst_into_flame
peska'latl,lead_off_the_trail_or_road
peska'sit,go_off_the_trail_or_road
peska'toq,lead_off_the_trail_or_road
peske'ket,mourning clothes
pe'skelmi,laugh
peskenm,bury deep
pe'skewei,gun
peskiaqa'latl,skins an animal
pe'skɨk,shoot_at
pe'skikek,shoot
peskiket,shoot
peskɨtek,lead_off_to_(path)
pe'skɨtek,fired_(as_gun)
pe'sklamit,breathe a sigh
pe'sko'qm,fish-flake
pe'skuatl,shoot_at
peskuk,phelgm
peskunatek,nine_(in_counting)
peskunatek_te'sinska'q,ninety_(in_counting)
peskunatek_te'siska'q,ninety
peskupoq,mucus
peskute'k,shave
peskute'may,shave_oneself
peskwatalk,graze_(as_cow_or_horse)
peskwe'may,shave
peskwesawey,mowing
peskwesawutimk,harvest
peskwete'kemkewei,sickle
peskwiet,moult
peskwit,shed
peslutekemkewei,parable
pesoqapska'sijek,farted
pesoqapskiteluatl,miss_aimed_at
pesoqopska'si,drop something
pesoqopska'sit,fumble_and_drop
pesoqopskɨta'tl,fumble
pesoqopskɨte'k,fumble
pesoqte'k,miss
pesoqtelk,fail_to_shoot_something_aimed_at
pesoqteluatl,fail_to_hit_someone_aimed_at
pesoqteskɨk,miss
pesoqteskmat,trip
pesoqteskuatl,miss
pesqa'ipusit,chafed
pesqa'iputek,chafed
pesqa'lik,skin_animal
pesqata'tl,scrape_(with_instrument)
pesqate'k,scrape_(with_instrument)
pesqatesmatl,scrape
pesqatestoq,scrape
pesqayaq,peel
pesqayet,skin_peels_(as_from_sunburn)
pesqojikuek,sticky
pesqojikuet,sticky
pesqojikuiptnat,have_sticky_fingers
pesqo'latl,pluck_(as_chicken)
pessatl,cut_accidentally
pessɨk,cut_accidentally
pessmkewei,holy_picture_or_medal
pestaqa'latl,strain
pestaqalsit,
pestaqa'toq,strain
pestemo'qon,starvation
pestie'wimk,feast_day
pestmat,starve
pesuktia't,butt crack
pesuskiaq,spark
petalati'l,shot pouch
petaptu'sit,comes_with_the_aid_of_a_cane
petaqan,pie
petasenmat,come_walking_with_light_or_torch
petasi,blinded_(by_glare_of_light_or_sun)
petasui'm,snow
petatejitoq,comes_dragging_it
petawlalatl,comes_carrying_on_back
petawlatk,lug_on_back
petawlet,lug_here_(on_back)
petisna'sitisk,shoes on
petkimatl,pacify
petkimatl,send
petkitk,mail
petknejik,arrive_at_destination
petkutatestoq,spill_unintentionally
petkuta'tl,knock_out
petkuteket,spill_unintentionally
pe'tla,hook
pe'tlay,lucky
petna'sɨk,gust_of_cool_wind
petpa'nmit,crazy
petqwasit,deny
petqwasit,deny
petta'tl,strike_unintentionally
pette'k,stikes_unintentionally
pettemit,gets_here_crying
pettepit,"arrive_as_a_passenger_by_train,_car,_or_other_vehicle"
petteppit,arrive_as_a_passenger
petteskuatl,accidentally_bump_into
petteskuatl,chases_here
pe'tulk,fish
pe'tulsi,hook myself
petu'niaq,get_foggy
petuptoq,lug_here_(on_shoulder)
pe'tutm,hook
pewalatl,want
pewamkewei,dream
pewa'q,sweep
pewaqsɨte'ket,"thrash_(of_wheat,_grain_etc.)"
pewaqsɨte'knei,thrasher_(used_in_farming)
pewaqtesmatl,shake_off
pewaqtestoq,shake_off
pewaqtmay,nightmare
pewat,dream
pewatk,desire
pewiatl,dream_about
pewi'ket,sweep
pewitaqan,dream
pewiteket,dream
pewitu,dream_about
pewoqa'tuanl,corn
pe'wulk,eel slime
pe'wulk,singe the hair off
piamiaq,leftover
piamiet,leftover
piamiksalatl,like_better
piamiksatk,likes_better
piami'te'lmatl,think_more_of
piami'te'tk,think_more_of
piamiw,more_than
piami·,overly
piam'klu'lk,better
piam'klu'sit,better
piamu,
piatwe'witewei,map
pie'skmin,corn
pie'skminei-ika'taqn,corn
pie'skminei-wi's,corn
pie'skmnaskw,corn stalk
pie'skmna'skw,corn
pija'latl,put_in
pija'lut,jailed
pijapekit,crawl_into
pija'sit,go_underneath
pija'toq,put_in
pijatpo'jink,head_inside
pije'jkaji'j,pike
pijeket,throw_under
pijewit,throwing pennies
pijiaq,fall_in
pijiet,fall_in
piji'katat,long·legged
pijikiaq,curve_inward
pijikiet,curve_in
pijiki'skiaq,ceiling
pijikn'jit,mosquito
pijiksma'latl,push_into
pijiksma'toq,push_in
pijikwalatl,press_into
pijikwek,grow_inward
pijikwek,ingrown
pijikwet,grows_inward
pijikwet,ingrown
pijimaqan,funnel
pijipkwiaq,cave_in
pijipkwiet,cave_in
pijiptnat,have_long_reach
pijisqonat,have_a_long_nose
pijistaqanat,have_long_ears
pi'jkwej,night hawk
pi'k,spade_(in_cards)
piklewji'j,lamp_globe
piksa'q,cloudy_from_smoke
piksa't,cloudy_from_smoke
piktit,fart
pi'kun,feather
pi'kun,pen
pi'kw,night_hawk
pi'kwatikn,shed_hair
pi'kwatiknmit,shed_hair
pikweli-,much
pikweliaq,in_good_supply
pikweliet,in_good_supply
pikwelijuik,flow_extensively
pikwelk,much
