-aik,dollar
aq,and
aqalasie'w,English person
aqalasie'wimatl,says_it_in_English
aqalasie'wi'sit,speak_the_English_language
aqam,snowshoe
aqamoq,ash_tree
aqamoqwe'kati,ash_grove
aqantie'umk,Sunday
aqantie'uti,week
a'qataik,half
a'qatapit,half_intoxicated
a'qatatpa't,crazy
aqawikalatl,hide
aqawikatk,hide
aqiemtm,cry out
a'qitamkiaq,half·full_(dry_ingredient)
a'qitamkiet,half·full_(dry_ingredient)
a'qitatpa't,half witted
a'qiti-kljit,half frozen
a'qiti-mpik,dead
a'qitipuk,midwinter
a'qit-kilte'w,half size
aqjikatek,shade
aqmoq,ash
a'qno'tasit,fostered
aqq,and
aqq elp,moreover
aqtapek,half·filled_(with_liquid)
aqtapet,half·filled_(with_liquid)
aqtatpa'q,midnight
a'q'tiepis,sea_porpoise
aqu'ki,sealskin
aqu'kiapi'l,sealskin strap
aquoqomkwa'sɨk,make_turn
aquoqomkwa'sit,make_turn
aquoqomqek,at_turn
aqupit,hidden_and_sitting
aqutek,hidden
asamaja'latl,do_fancily
asamaja'toq,do_fancily
asamaje'k,fancy
asamattek,fancy
a'se'k,on_the_other_side
a'sey,other_room
asikatitesnen,walk towards each other
asikesin,gossip
asiketk,instigate
a'sɨkk,meet
asɨkomoqtek,lie
asɨkom_te'siska'q,sixty
a'sɨkuatl,come_across
asimatl,stir_up
asimk,urge
a'sisapekit,crawl_over
a'sisaptm,overlook
a'sisa'sit,go_over_something
a'siseket,throw_over
a'sislutaqane'j,bastard
a'sispit,over
a'sistek,over
asitapukuemk,response
asita'teket,revenge
asiteklulatl,reply
asite'lmatl,intercourse_with
asitematl,reply
asite'taqn,permission
asite'tekemk,permission
asi'timkewei,temptation
askaja't,walk_with_a_limp
aska'sit,limp
askatesink,limp
askaywatl,causing_hurt
asko'tk,harm
a'smikwa'tuatl,confront him
a'smikwi'tuniaq,head wind comes
asolqwapisuti,sash
asoqomapekit,crawl_across
asoqoma'q,swim_across
asoqoma'sɨk,cross_over
asoqoma'sit,cross_over
asoqomasukwet,wade_across_in_water
asoqomiksma'latl,push_across
asoqomiksma'toq,push_across
asoqomi'kwe'k,swim_across
asoqomi'pit,run_across
asoqomkwaqn,bridge
asoqomoqtesink,fall_across
asoqomoqtesk,fall_across
asoqomu'taqn,ferry
asoqo'mutaqn,ferry
asoqomu'teket,ferry_across
asoqonɨkaqan,railroad_bridge
assma,right_at
astek,sun
astuaqite'm,weld
astua'toql,joins
astui-pukua'ti'k,stand facing each other
astuopskitekl,rocks lie opposite each other
astuopskitestu,strike two stones together
astu'pukua'tiek,confront each other
asuapeki,crawl back nd forth
asuapekiey,swing back and forth
asua'si,walk back and forth
asua'sɨk,back_and_forth
asua'sit,back_and_forth
asui-ktiteskɨk,walk_back_and_forth
asui'pi,run back and forth
asuita'si,undecided
asukom,six
asukomanaqsi,bunch berry
a'sukuteskatijik,meet up face to face
a'sukwesukwijik,meet_on_water(by_canoe)
asumekwetk,headwind
asumekwetnmay,headwind
a'su'n,clothes
a'suna'si,dress myself
a'su'nkewatl,provide_clothing
asu'pi,sitting on edge
asu'sen,pace back and forth
asu'set,pace_back_and_forth
asu'teskuatl,chases him back_and_forth
aswe'ka'taqn,coat
a't,that
atakali,frog
atapaqatl,wind_up
atapaqq,wind_up
atel,just_now
atelk,in_addition_to
atie'wit,say_goodbye
atiu,goodbye
atkekwa't,wrinkled_(of_head_and_neck)
atkekwati,wrinkle
atkekway,face is wrinkly
atkenikey,transplant
atkenm,transplant
atkisa'tu,light a fire
atkitemit,cry
atkitemu'latl,cause_to_cry
atknawet,deal
atknawey,deal
atknewatl,deals_for him/her
atknwo'kn,lot
Atkoqnji'jk,Blomidon
atla'i,shirt
atla'ia'q,wear_a_shirt
atla'imit,have_a_shirt
atlasmit,relax
atlasmu'latl,rest
atlasmu'teket,take_break
a'tla'wekn,cloth
atlika'si,march
atnamkewei,checker_game
atnaqn,checker
